epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.3983,1.30419,4.52509,1.69365,0.44044,0.14133,0.11912,0.08534,1.20082,3.40319,1.54372,4.356e-05,4.356e-05,4.356e-05
2,59.2162,1.3501,3.41689,1.68783,0.45573,0.29263,0.26912,0.17561,1.28362,2.71899,1.61526,8.32258e-05,8.32258e-05,8.32258e-05
3,87.9204,1.36229,3.02149,1.70716,0.37754,0.34033,0.29636,0.19125,1.3345,2.5345,1.65471,0.000118536,0.000118536,0.000118536
4,117.24,1.34523,2.81628,1.69248,0.41543,0.39515,0.3432,0.21972,1.34511,2.40919,1.64025,0.000112398,0.000112398,0.000112398
5,145.867,1.34462,2.74632,1.6854,0.42163,0.39886,0.39667,0.26738,1.33943,2.2625,1.71873,0.000105864,0.000105864,0.000105864
6,176.587,1.35382,2.61242,1.69483,0.45377,0.3915,0.4203,0.26413,1.35639,2.19099,1.67512,9.933e-05,9.933e-05,9.933e-05
7,207.164,1.31588,2.52452,1.67385,0.55836,0.39383,0.43683,0.29186,1.29189,2.16462,1.63528,9.2796e-05,9.2796e-05,9.2796e-05
8,235.948,1.31294,2.46857,1.65945,0.45766,0.44107,0.43357,0.2716,1.37558,2.08893,1.70009,8.6262e-05,8.6262e-05,8.6262e-05
9,263.892,1.28649,2.37413,1.63818,0.50818,0.42954,0.46176,0.31975,1.20469,2.00466,1.54538,7.9728e-05,7.9728e-05,7.9728e-05
10,293.074,1.303,2.35292,1.64696,0.51293,0.49289,0.51096,0.33131,1.31315,1.9518,1.62591,7.3194e-05,7.3194e-05,7.3194e-05
11,353.66,1.04791,2.02911,1.55331,0.47511,0.51528,0.5045,0.342,1.26128,1.97753,1.57032,6.666e-05,6.666e-05,6.666e-05
12,382.101,1.02701,1.80387,1.51466,0.54435,0.47843,0.52221,0.37168,1.16895,1.93083,1.53161,6.0126e-05,6.0126e-05,6.0126e-05
13,411.362,1.01863,1.74376,1.53058,0.49094,0.51716,0.53112,0.38518,1.17929,1.84177,1.53008,5.3592e-05,5.3592e-05,5.3592e-05
14,441.631,0.99901,1.64602,1.49626,0.54076,0.5154,0.53711,0.36736,1.23583,1.8072,1.55273,4.7058e-05,4.7058e-05,4.7058e-05
15,475.43,0.96743,1.53067,1.4696,0.53343,0.53057,0.55886,0.40889,1.16284,1.78382,1.5036,4.0524e-05,4.0524e-05,4.0524e-05
16,523.301,0.97828,1.46172,1.46964,0.5965,0.50995,0.55571,0.40341,1.14076,1.73433,1.48172,3.399e-05,3.399e-05,3.399e-05
17,552.704,0.95377,1.42109,1.44499,0.53622,0.53448,0.56695,0.41756,1.14131,1.69568,1.4713,2.7456e-05,2.7456e-05,2.7456e-05
18,580.896,0.94744,1.34803,1.43954,0.58314,0.54464,0.57476,0.41897,1.15257,1.70995,1.48983,2.0922e-05,2.0922e-05,2.0922e-05
19,608.842,0.92928,1.28509,1.4299,0.59937,0.52147,0.56751,0.41306,1.14122,1.68352,1.4786,1.4388e-05,1.4388e-05,1.4388e-05
20,637.274,0.91473,1.25123,1.41026,0.58912,0.55323,0.57211,0.41888,1.12121,1.67608,1.45761,7.854e-06,7.854e-06,7.854e-06
